Symbol,Date,Open,High,Low,Close,Adj Close,Volume
TCS,30-09-2014,1386.469971,1388.319946,1354.069946,1368.300049,1166.084595,2788954
TCS,01-10-2014,1376,1401,1368.5,1387.800049,1182.702759,2142022
TCS,07-10-2014,1369.800049,1419.849976,1362.800049,1365.680054,1163.852051,3457674
TCS,08-10-2014,1369,1369.969971,1324.619995,1341.599976,1143.330688,1962442
TCS,09-10-2014,1354,1361.650024,1343.25,1353.030029,1153.071533,1685176
TCS,10-10-2014,1353,1363.719971,1334.25,1339.25,1141.328003,2344362
TCS,13-10-2014,1340,1362.400024,1335,1358.280029,1157.54541,2209532
TCS,14-10-2014,1365,1367.849976,1339.400024,1349.599976,1150.148315,2369406
TCS,15-10-2014,1349.599976,1349.599976,1349.599976,1349.599976,1150.148315,0
TCS,16-10-2014,1365,1379.300049,1332.119995,1339.050049,1141.157227,3848014
TCS,17-10-2014,1237.5,1255.680054,1215,1220.569946,1040.187134,9892812
TCS,20-10-2014,1245,1246.800049,1208.969971,1211.650024,1032.585327,3399242
TCS,21-10-2014,1212.930054,1221.880005,1207.5,1216.699951,1036.889038,1950732
TCS,22-10-2014,1242.5,1244.5,1222.550049,1225.930054,1044.755127,2067664
TCS,27-10-2014,1259.5,1259.849976,1222.469971,1228.569946,1047.005127,2797208
TCS,28-10-2014,1242.449951,1242.449951,1226.719971,1239.300049,1056.149048,2289958
TCS,29-10-2014,1237.5,1257,1236.5,1253.030029,1072.17627,2425016
TCS,30-10-2014,1260.900024,1287.449951,1254.5,1279.099976,1094.482788,4111292
TCS,31-10-2014,1280.5,1310,1280.5,1303.930054,1115.729126,3170070
TCS,03-11-2014,1324.5,1324.5,1290.25,1295.180054,1108.241821,2541632
TCS,05-11-2014,1319,1319,1295,1299.75,1112.152466,2310642
TCS,07-11-2014,1302.400024,1307.849976,1278.5,1286.430054,1100.754883,2126740
TCS,10-11-2014,1287.550049,1291,1275.5,1284.819946,1099.377075,1541964
TCS,11-11-2014,1289,1297,1277.699951,1290.349976,1104.109253,1249940
TCS,12-11-2014,1290,1305.5,1287.5,1295.880005,1108.84082,1320582
TCS,13-11-2014,1297.5,1302.449951,1282.569946,1294.219971,1107.420654,1645540
TCS,14-11-2014,1292.599976,1305.569946,1287.5,1303.219971,1115.121582,1457174
TCS,17-11-2014,1297.550049,1312.5,1296.119995,1309.150024,1120.195923,1570552
TCS,18-11-2014,1310,1313.319946,1289.880005,1292.930054,1106.316772,1467026
TCS,19-11-2014,1299,1299,1278.719971,1286.880005,1101.140015,1865746
TCS,20-11-2014,1294,1305.119995,1280.280029,1302.719971,1114.693726,1795386
TCS,21-11-2014,1304,1320,1293.319946,1311.069946,1121.838013,2001594
TCS,24-11-2014,1311,1332.5,1311,1328.849976,1137.052368,1942766
TCS,25-11-2014,1330,1339.699951,1308,1318,1127.768433,2371684
TCS,26-11-2014,1315.030029,1328.180054,1307.5,1313.650024,1124.046021,1584800
TCS,27-11-2014,1313.650024,1334,1312.650024,1326.650024,1135.1698,1732418
TCS,28-11-2014,1329.180054,1345.949951,1317.680054,1321.5,1130.763428,1989768
TCS,01-12-2014,1325.25,1350,1322.619995,1346.469971,1152.12915,1896354
TCS,02-12-2014,1346.5,1355.469971,1324.680054,1328.650024,1136.881348,1436572
TCS,03-12-2014,1335.949951,1336.699951,1309.25,1317.680054,1127.494751,3094670
TCS,04-12-2014,1332,1333.5,1314.949951,1318.969971,1128.598511,1285308
TCS,05-12-2014,1320.449951,1324.900024,1286.069946,1289.469971,1103.356079,2359676
TCS,08-12-2014,1297.5,1297.5,1250.819946,1256.400024,1075.059448,3232574
TCS,09-12-2014,1258,1279.5,1254.550049,1257.430054,1075.940918,2487940
TCS,10-12-2014,1257.5,1265.949951,1248.099976,1253.949951,1072.962891,2087970
TCS,11-12-2014,1250.300049,1261.449951,1243.5,1246.069946,1066.220459,1938822
TCS,12-12-2014,1250,1260,1211.319946,1225.349976,1048.490967,2380786
TCS,15-12-2014,1192.449951,1192.5,1176.119995,1179.319946,1009.104553,3487788
TCS,16-12-2014,1175,1229.619995,1172.5,1221.530029,1045.222168,3339140
TCS,17-12-2014,1226.699951,1235,1202.619995,1222.050049,1045.667358,2287076
TCS,18-12-2014,1227.550049,1234.25,1217.400024,1230.349976,1052.769409,1481444
TCS,19-12-2014,1235.650024,1261.880005,1234,1255.280029,1074.100952,1903130
TCS,22-12-2014,1263,1264.5,1237.199951,1256.699951,1075.315918,1643954
TCS,23-12-2014,1250,1268.319946,1247.300049,1258.349976,1076.727783,1266476
TCS,24-12-2014,1257.5,1260.430054,1232.819946,1239.949951,1060.983521,3288972
TCS,26-12-2014,1243,1255,1232.5,1252.5,1071.722168,626206
TCS,29-12-2014,1254,1268.469971,1253.5,1261.449951,1079.380249,778920
TCS,30-12-2014,1262.5,1271.219971,1258,1265.030029,1082.443726,701342
TCS,31-12-2014,1266.349976,1283.199951,1262.5,1279.119995,1094.500244,1573792
TCS,01-01-2015,1283.5,1283.5,1270.5,1272.780029,1089.075073,366830
TCS,02-01-2015,1275.5,1295.469971,1275.300049,1289.719971,1103.57019,925740
TCS,05-01-2015,1290.5,1299.949951,1262.319946,1270.119995,1086.799072,1754242
TCS,06-01-2015,1264.550049,1264.550049,1220,1223.300049,1046.736816,2423784
TCS,07-01-2015,1235,1239.569946,1203.719971,1208.849976,1034.372314,2636332
TCS,08-01-2015,1221.199951,1224.5,1210.280029,1221.900024,1045.53894,1565408
TCS,09-01-2015,1227.5,1259.949951,1225,1256.150024,1074.845459,3197642
TCS,12-01-2015,1258.5,1264,1240.119995,1254.849976,1073.73291,1596006
TCS,13-01-2015,1260,1265.199951,1240.050049,1248.949951,1068.68457,1468432
TCS,14-01-2015,1258,1265.900024,1250.25,1260.969971,1078.969727,1787096
TCS,15-01-2015,1266.5,1290.880005,1261.619995,1269.550049,1086.311523,5009920
TCS,16-01-2015,1271.849976,1272.5,1242.150024,1266.069946,1083.333374,5293830
TCS,19-01-2015,1268,1275.5,1251.5,1255.5,1074.289185,1135074
TCS,20-01-2015,1260,1265,1241.619995,1250.219971,1069.771484,2058566
TCS,21-01-2015,1261,1261,1244.119995,1256.900024,1075.487183,2310480
TCS,22-01-2015,1258.25,1260.619995,1247.75,1256.780029,1075.384521,2113214
TCS,23-01-2015,1257,1266.030029,1248.050049,1251.800049,1071.123169,3150380
TCS,27-01-2015,1256.180054,1257.5,1244.780029,1251.030029,1074.756836,2738736
TCS,28-01-2015,1251.5,1272.449951,1251.449951,1269.800049,1090.882202,3121980
TCS,29-01-2015,1269,1284.349976,1256.449951,1272.319946,1093.047241,3734392
TCS,30-01-2015,1280.349976,1287.5,1235,1241.030029,1066.166382,5817402
TCS,02-02-2015,1241,1260.719971,1231.030029,1257.099976,1079.971924,3181802
TCS,03-02-2015,1255.819946,1282.5,1253.550049,1279.119995,1098.889404,2345054
TCS,04-02-2015,1284,1285.849976,1251.050049,1257.150024,1080.015015,2245418
TCS,05-02-2015,1260,1295.849976,1259.5,1276.199951,1096.380493,4530168
